0,Scream,up,down,Female,N/A,Pitch,down
1,Scream,up,down,Female,N/A,Pitch,down
2,Scream,up,down,Female,N/A,Pitch,down
3,Scream,up,down,Female,N/A,Pitch,down
4,Scream,up,down,Female,N/A,Pitch,down
5,Scream,up,down,Female,N/A,Pitch,down
6,Scream,down,up,Male,N/A,Pitch,up
7,Scream,down,up,Male,N/A,Pitch,up
8,Scream,down,up,Male,N/A,Pitch,up
9,Scream,down,up,Male,N/A,Pitch,up
10,Scream,down,up,Male,N/A,Pitch,up
11,Scream,down,up,Male,N/A,Pitch,up
0,Scream,smile,unsmile,Female,N/A,Ziggy,unsmile
1,Scream,smile,unsmile,Female,N/A,Ziggy,unsmile
2,Scream,smile,unsmile,Female,N/A,Ziggy,unsmile
3,Scream,smile,unsmile,Female,N/A,Ziggy,unsmile
4,Scream,smile,unsmile,Female,N/A,Ziggy,unsmile
5,Scream,smile,unsmile,Female,N/A,Ziggy,unsmile
6,Scream,unsmile,smile,Male,N/A,Ziggy,smile
7,Scream,unsmile,smile,Male,N/A,Ziggy,smile
8,Scream,unsmile,smile,Male,N/A,Ziggy,smile
9,Scream,unsmile,smile,Male,N/A,Ziggy,smile
10,Scream,unsmile,smile,Male,N/A,Ziggy,smile
11,Scream,unsmile,smile,Male,N/A,Ziggy,smile
0,Scream,NM,vib,Female,N/A,Vibrato,vib
1,Scream,NM,vib,Female,N/A,Vibrato,vib
2,Scream,NM,vib,Female,N/A,Vibrato,vib
3,Scream,NM,vib,Female,N/A,Vibrato,vib
4,Scream,NM,vib,Female,N/A,Vibrato,vib
5,Scream,NM,vib,Female,N/A,Vibrato,vib
6,Scream,NM,vib,Male,N/A,Vibrato,vib
7,Scream,NM,vib,Male,N/A,Vibrato,vib
8,Scream,NM,vib,Male,N/A,Vibrato,vib
9,Scream,NM,vib,Male,N/A,Vibrato,vib
10,Scream,NM,vib,Male,N/A,Vibrato,vib
11,Scream,NM,vib,Male,N/A,Vibrato,vib
0,Scream,NM,angus,Female,N/A,Roughness,angus
1,Scream,NM,angus,Female,N/A,Roughness,angus
2,Scream,NM,angus,Female,N/A,Roughness,angus
3,Scream,NM,angus,Female,N/A,Roughness,angus
4,Scream,NM,angus,Female,N/A,Roughness,angus
5,Scream,NM,angus,Female,N/A,Roughness,angus
6,Scream,NM,angus,Male,N/A,Roughness,angus
7,Scream,NM,angus,Male,N/A,Roughness,angus
8,Scream,NM,angus,Male,N/A,Roughness,angus
9,Scream,NM,angus,Male,N/A,Roughness,angus
10,Scream,NM,angus,Male,N/A,Roughness,angus
11,Scream,NM,angus,Male,N/A,Roughness,angus
0,Scream,NM,NM,Female,N/A,Control,NM
1,Scream,NM,NM,Female,N/A,Control,NM
2,Scream,NM,NM,Female,N/A,Control,NM
3,Scream,NM,NM,Female,N/A,Control,NM
4,Scream,NM,NM,Female,N/A,Control,NM
5,Scream,NM,NM,Female,N/A,Control,NM
6,Scream,NM,NM,Male,N/A,Control,NM
7,Scream,NM,NM,Male,N/A,Control,NM
8,Scream,NM,NM,Male,N/A,Control,NM
9,Scream,NM,NM,Male,N/A,Control,NM
10,Scream,NM,NM,Male,N/A,Control,NM
11,Scream,NM,NM,Male,N/A,Control,NM
