0,Speech,up,down,Male,Irish,Pitch,up
1,Speech,up,down,Male,English,Pitch,up
2,Speech,up,down,Female,English,Pitch,up
3,Speech,up,down,Female,English,Pitch,up
4,Speech,up,down,Female,French,Pitch,up
5,Speech,up,down,Male,English,Pitch,up
6,Speech,up,down,Male,English,Pitch,up
7,Speech,down,up,Male,English,Pitch,down
8,Speech,down,up,Female,English,Pitch,down
9,Speech,down,up,Male,English,Pitch,down
10,Speech,down,up,Female,English,Pitch,down
11,Speech,down,up,Female,English,Pitch,down
12,Speech,down,up,Female,English,Pitch,down
13,Speech,down,up,Male,English,Pitch,down
0,Speech,smile,unsmile,Male,Irish,Ziggy,smile
1,Speech,smile,unsmile,Male,English,Ziggy,smile
2,Speech,smile,unsmile,Female,English,Ziggy,smile
3,Speech,smile,unsmile,Female,English,Ziggy,smile
4,Speech,smile,unsmile,Female,French,Ziggy,smile
5,Speech,smile,unsmile,Male,English,Ziggy,smile
6,Speech,smile,unsmile,Male,English,Ziggy,smile
7,Speech,unsmile,smile,Male,English,Ziggy,unsmile
8,Speech,unsmile,smile,Female,English,Ziggy,unsmile
9,Speech,unsmile,smile,Male,English,Ziggy,unsmile
10,Speech,unsmile,smile,Female,English,Ziggy,unsmile
11,Speech,unsmile,smile,Female,English,Ziggy,unsmile
12,Speech,unsmile,smile,Female,English,Ziggy,unsmile
13,Speech,unsmile,smile,Male,English,Ziggy,unsmile
0,Speech,vib,NM,Male,Irish,Vibrato,vib
1,Speech,vib,NM,Male,English,Vibrato,vib
2,Speech,vib,NM,Female,English,Vibrato,vib
3,Speech,vib,NM,Female,English,Vibrato,vib
4,Speech,vib,NM,Female,French,Vibrato,vib
5,Speech,vib,NM,Male,English,Vibrato,vib
6,Speech,vib,NM,Male,English,Vibrato,vib
7,Speech,vib,NM,Male,English,Vibrato,vib
8,Speech,vib,NM,Female,English,Vibrato,vib
9,Speech,vib,NM,Male,English,Vibrato,vib
10,Speech,vib,NM,Female,English,Vibrato,vib
11,Speech,vib,NM,Female,English,Vibrato,vib
12,Speech,vib,NM,Female,English,Vibrato,vib
13,Speech,vib,NM,Male,English,Vibrato,vib
0,Speech,angus,NM,Male,Irish,Roughness,angus
1,Speech,angus,NM,Male,English,Roughness,angus
2,Speech,angus,NM,Female,English,Roughness,angus
3,Speech,angus,NM,Female,English,Roughness,angus
4,Speech,angus,NM,Female,French,Roughness,angus
5,Speech,angus,NM,Male,English,Roughness,angus
6,Speech,angus,NM,Male,English,Roughness,angus
7,Speech,angus,NM,Male,English,Roughness,angus
8,Speech,angus,NM,Female,English,Roughness,angus
9,Speech,angus,NM,Male,English,Roughness,angus
10,Speech,angus,NM,Female,English,Roughness,angus
11,Speech,angus,NM,Female,English,Roughness,angus
12,Speech,angus,NM,Female,English,Roughness,angus
13,Speech,angus,NM,Male,English,Roughness,angus
0,Speech,NM,NM,Male,Irish,Control,NM
1,Speech,NM,NM,Male,English,Control,NM
2,Speech,NM,NM,Female,English,Control,NM
3,Speech,NM,NM,Female,English,Control,NM
4,Speech,NM,NM,Female,French,Control,NM
5,Speech,NM,NM,Male,English,Control,NM
6,Speech,NM,NM,Male,English,Control,NM
7,Speech,NM,NM,Male,English,Control,NM
8,Speech,NM,NM,Female,English,Control,NM
9,Speech,NM,NM,Male,English,Control,NM
10,Speech,NM,NM,Female,English,Control,NM
11,Speech,NM,NM,Female,English,Control,NM
12,Speech,NM,NM,Female,English,Control,NM
13,Speech,NM,NM,Male,English,Control,NM
