0,Vox,up,down,Male,Irish,Pitch,down
1,Vox,up,down,Male,English,Pitch,down
2,Vox,up,down,Female,English,Pitch,down
3,Vox,up,down,Female,English,Pitch,down
4,Vox,up,down,Female,French,Pitch,down
5,Vox,up,down,Male,English,Pitch,down
6,Vox,up,down,Male,English,Pitch,down
7,Vox,down,up,Male,English,Pitch,up
8,Vox,down,up,Female,English,Pitch,up
9,Vox,down,up,Male,English,Pitch,up
10,Vox,down,up,Female,English,Pitch,up
11,Vox,down,up,Female,English,Pitch,up
12,Vox,down,up,Female,English,Pitch,up
13,Vox,down,up,Male,English,Pitch,up
0,Vox,smile,unsmile,Male,Irish,Ziggy,unsmile
1,Vox,smile,unsmile,Male,English,Ziggy,unsmile
2,Vox,smile,unsmile,Female,English,Ziggy,unsmile
3,Vox,smile,unsmile,Female,English,Ziggy,unsmile
4,Vox,smile,unsmile,Female,French,Ziggy,unsmile
5,Vox,smile,unsmile,Male,English,Ziggy,unsmile
6,Vox,smile,unsmile,Male,English,Ziggy,unsmile
7,Vox,unsmile,smile,Male,English,Ziggy,smile
8,Vox,unsmile,smile,Female,English,Ziggy,smile
9,Vox,unsmile,smile,Male,English,Ziggy,smile
10,Vox,unsmile,smile,Female,English,Ziggy,smile
11,Vox,unsmile,smile,Female,English,Ziggy,smile
12,Vox,unsmile,smile,Female,English,Ziggy,smile
13,Vox,unsmile,smile,Male,English,Ziggy,smile
0,Vox,NM,vib,Male,Irish,Vibrato,vib
1,Vox,NM,vib,Male,English,Vibrato,vib
2,Vox,NM,vib,Female,English,Vibrato,vib
3,Vox,NM,vib,Female,English,Vibrato,vib
4,Vox,NM,vib,Female,French,Vibrato,vib
5,Vox,NM,vib,Male,English,Vibrato,vib
6,Vox,NM,vib,Male,English,Vibrato,vib
7,Vox,NM,vib,Male,English,Vibrato,vib
8,Vox,NM,vib,Female,English,Vibrato,vib
9,Vox,NM,vib,Male,English,Vibrato,vib
10,Vox,NM,vib,Female,English,Vibrato,vib
11,Vox,NM,vib,Female,English,Vibrato,vib
12,Vox,NM,vib,Female,English,Vibrato,vib
13,Vox,NM,vib,Male,English,Vibrato,vib
0,Vox,NM,angus,Male,Irish,Roughness,angus
1,Vox,NM,angus,Male,English,Roughness,angus
2,Vox,NM,angus,Female,English,Roughness,angus
3,Vox,NM,angus,Female,English,Roughness,angus
4,Vox,NM,angus,Female,French,Roughness,angus
5,Vox,NM,angus,Male,English,Roughness,angus
6,Vox,NM,angus,Male,English,Roughness,angus
7,Vox,NM,angus,Male,English,Roughness,angus
8,Vox,NM,angus,Female,English,Roughness,angus
9,Vox,NM,angus,Male,English,Roughness,angus
10,Vox,NM,angus,Female,English,Roughness,angus
11,Vox,NM,angus,Female,English,Roughness,angus
12,Vox,NM,angus,Female,English,Roughness,angus
13,Vox,NM,angus,Male,English,Roughness,angus
0,Vox,NM,NM,Male,Irish,Control,NM
1,Vox,NM,NM,Male,English,Control,NM
2,Vox,NM,NM,Female,English,Control,NM
3,Vox,NM,NM,Female,English,Control,NM
4,Vox,NM,NM,Female,French,Control,NM
5,Vox,NM,NM,Male,English,Control,NM
6,Vox,NM,NM,Male,English,Control,NM
7,Vox,NM,NM,Male,English,Control,NM
8,Vox,NM,NM,Female,English,Control,NM
